Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	ANI Check status	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Stats Total Number of Chromosomes	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Stats Number of Scaffolds	Assembly Submitter	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Type Material Display Text	CheckM contamination
GCF_963920465.1	KAC_114	Synechococcus sp. CBW1107	2789857	Inconclusive					KAC_114		GCF_963920465.1-RS_2025_02_19	2816659	1	Complete Genome	2023-12-22		2816659	2816659	1	Sodertorn University College	3062	2974		0.24
GCA_047304545.1	ASM4730454v1	Synechococcus sp. MIT S9501	3082545	Inconclusive		MIT S9501						2798325	1	Complete Genome	2025-01-29		2798325	2798325	1	Civil and Environmental Engineering, Massachusetts Institute of Technology				0.59
GCF_047304545.1	ASM4730454v1	Synechococcus sp. MIT S9501	3082545	Inconclusive		MIT S9501					GCF_047304545.1-RS_2025_01_31	2798325	1	Complete Genome	2025-01-31		2798325	2798325	1	Civil and Environmental Engineering, Massachusetts Institute of Technology	3109	3033		0.59
GCA_047304065.1	ASM4730406v1	Synechococcus sp. MIT S9510	3082548	Inconclusive		MIT S9510						2793565	1	Complete Genome	2025-01-29		2793565	2793565	1	Civil and Environmental Engineering, Massachusetts Institute of Technology				0.59
GCF_047304065.1	ASM4730406v1	Synechococcus sp. MIT S9510	3082548	Inconclusive		MIT S9510					GCF_047304065.1-RS_2025_01_29	2793565	1	Complete Genome	2025-01-30		2793565	2793565	1	Civil and Environmental Engineering, Massachusetts Institute of Technology	3106	3028		0.59
GCA_047303035.1	ASM4730303v1	Synechococcus sp. MIT S9509	1801630	Inconclusive		MIT S9509						2793560	1	Complete Genome	2025-01-29		2793560	2793560	1	Civil and Environmental Engineering, Massachusetts Institute of Technology				0.59
GCF_047303035.1	ASM4730303v1	Synechococcus sp. MIT S9509	1801630	Inconclusive		MIT S9509					GCF_047303035.1-RS_2025_01_29	2793560	1	Complete Genome	2025-01-30		2793560	2793560	1	Civil and Environmental Engineering, Massachusetts Institute of Technology	3113	3035		0.59
GCA_000737535.1	ASM73753v1	Synechococcus sp. KORDI-100	1280380	Inconclusive		KORDI-100					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2789000	1	Complete Genome	2014-08-04		2789000	2789000	1	Korea Institute of Ocean Science and Technology	3107	3061		
GCF_000737535.1	ASM73753v1	Synechococcus sp. KORDI-100	1280380	Inconclusive		KORDI 100					GCF_000737535.1-RS_2024_08_13	2789000	1	Complete Genome	2014-08-04		2789000	2789000	1	Korea Institute of Ocean Science and Technology	2988	2921		
GCA_001885215.1	ASM188521v1	Synechococcus sp. SynAce01	1916956	Inconclusive		SynAce01					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2750634	1	Complete Genome	2016-11-22		2750634	2750634	1	Peking University Shenzhen Graduate School	2783	2651		
GCF_001885215.1	ASM188521v1	Synechococcus sp. SynAce01	1916956	Inconclusive		SynAce01					GCF_001885215.1-RS_2024_05_07	2750634	1	Complete Genome	2016-11-22		2750634	2750634	1	Peking University Shenzhen Graduate School	2894	2803		
GCA_014280235.1	ASM1428023v1	Cyanobium sp. NS01	261284	Inconclusive		NS01					Annotation submitted by Station Biologique de Roscoff (CNRS - Sorbonne University)	2748087	1	Complete Genome	2020-08-24		2748087	2748087	1	Station Biologique de Roscoff (CNRS - Sorbonne University)	2993	2937		3.03
GCF_014280235.1	ASM1428023v1	Cyanobium sp. NS01	261284	Inconclusive		NS01					GCF_014280235.1-RS_2024_08_17	2748087	1	Complete Genome	2020-08-24		2748087	2748087	1	Station Biologique de Roscoff (CNRS - Sorbonne University)	2875	2778		3.03
GCA_014279555.1	ASM1427955v1	Synechococcus sp. SYN20	1050714	Inconclusive		SYN20					Annotation submitted by Station Biologique de Roscoff (CNRS - Sorbonne University)	2728628	1	Complete Genome	2020-08-24		2728628	2728628	1	Station Biologique de Roscoff (CNRS - Sorbonne University)	3414	3363		0.71
GCF_014279555.1	ASM1427955v1	Synechococcus sp. SYN20	1050714	Inconclusive		SYN20					GCF_014279555.1-RS_2024_08_17	2728628	1	Complete Genome	2020-08-24		2728628	2728628	1	Station Biologique de Roscoff (CNRS - Sorbonne University)	2903	2826		0.71
GCA_047302865.1	ASM4730286v1	Prochlorococcus sp. MIT 0702	1499503	Inconclusive		MIT 0702						2716616	1	Complete Genome	2025-01-29		2716616	2716616	1	Civil and Environmental Engineering, Massachusetts Institute of Technology				0.24
GCF_047302865.1	ASM4730286v1	Prochlorococcus sp. MIT 0702	1499503	Inconclusive		MIT 0702					GCF_047302865.1-RS_2025_01_29	2716616	1	Complete Genome	2025-01-30		2716616	2716616	1	Civil and Environmental Engineering, Massachusetts Institute of Technology	2679	2583		0.24
GCA_047302755.1	ASM4730275v1	Prochlorococcus sp. MIT 0714	3082540	Inconclusive		MIT 0714						2715465	1	Complete Genome	2025-01-29		2715465	2715465	1	Civil and Environmental Engineering, Massachusetts Institute of Technology				0.24
GCF_047302755.1	ASM4730275v1	Prochlorococcus sp. MIT 0714	3082540	Inconclusive		MIT 0714					GCF_047302755.1-RS_2025_01_29	2715465	1	Complete Genome	2025-01-30		2715465	2715465	1	Civil and Environmental Engineering, Massachusetts Institute of Technology	2671	2573		0.24
GCA_014279975.1	ASM1427997v1	Synechococcus sp. BIOS-U3-1	1400865	Inconclusive		BIOS-U3-1					Annotation submitted by Station Biologique de Roscoff (CNRS - Sorbonne University)	2710834	1	Complete Genome	2020-08-24		2710834	2710834	1	Station Biologique de Roscoff (CNRS - Sorbonne University)	3448	3397		
GCF_014279975.1	ASM1427997v1	Synechococcus sp. BIOS-U3-1	1400865	Inconclusive		BIOS-U3-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2710834	1	Complete Genome	2020-08-24		2710834	2710834	1	Station Biologique de Roscoff (CNRS - Sorbonne University)	2944	2875		
GCA_047303495.1	ASM4730349v1	Prochlorococcus sp. MIT 0701	1499502	Inconclusive		MIT 0701						2709388	1	Complete Genome	2025-01-29		2709388	2709388	1	Civil and Environmental Engineering, Massachusetts Institute of Technology				0.24
GCF_047303495.1	ASM4730349v1	Prochlorococcus sp. MIT 0701	1499502	Inconclusive		MIT 0701					GCF_047303495.1-RS_2025_01_29	2709388	1	Complete Genome	2025-01-30		2709388	2709388	1	Civil and Environmental Engineering, Massachusetts Institute of Technology	2668	2572		0.24
GCA_023650955.1	ASM2365095v1	Thermosynechococcus sp. HN-54	2933959	OK		HN-54					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2705963	1	Complete Genome	2022-06-06		2705963	2705963	1	Guangdong Ocean University	2639	2559		
GCF_023650955.1	ASM2365095v1	Thermosynechococcus sp. HN-54	2933959	OK		HN-54					GCF_023650955.1-RS_2024_11_06	2705963	1	Complete Genome	2022-06-06		2705963	2705963	1	Guangdong Ocean University	2656	2567		
GCA_030518695.1	ASM3051869v1	Thermosynechococcus sp. PP45	3058429	OK		PP45					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2702314	2	Complete Genome	2023-07-23		2699981	2699981	2	Academia Sinica	2653	2576		
GCF_030518695.1	ASM3051869v1	Thermosynechococcus sp. PP45	3058429	OK		PP45					GCF_030518695.1-RS_2024_11_06	2702314	2	Complete Genome	2023-07-23		2699981	2699981	2	Academia Sinica	2664	2582		
GCA_047303465.1	ASM4730346v1	Prochlorococcus sp. MIT 0703	1499504	Inconclusive		MIT 0703						2699779	1	Complete Genome	2025-01-29		2699779	2699779	1	Civil and Environmental Engineering, Massachusetts Institute of Technology				0.24
GCF_047303465.1	ASM4730346v1	Prochlorococcus sp. MIT 0703	1499504	Inconclusive		MIT 0703					GCF_047303465.1-RS_2025_01_29	2699779	1	Complete Genome	2025-01-30		2699779	2699779	1	Civil and Environmental Engineering, Massachusetts Institute of Technology	2622	2528		0.24
GCA_031583225.1	ASM3158322v1	Thermosynechococcus sp. PP555	3074085	OK		PP555					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2699735	1	Complete Genome	2023-09-17		2699735	2699735	1	Academia Sinica	2649	2575		
GCF_031583225.1	ASM3158322v1	Thermosynechococcus sp. PP555	3074085	OK		PP555					GCF_031583225.1-RS_2024_11_06	2699735	1	Complete Genome	2023-09-17		2699735	2699735	1	Academia Sinica	2661	2579		
GCA_031583205.1	ASM3158320v1	Thermosynechococcus sp. PP551	3074084	OK		PP551					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2699585	1	Complete Genome	2023-09-17		2699585	2699585	1	Academia Sinica	2650	2576		
GCF_031583205.1	ASM3158320v1	Thermosynechococcus sp. PP551	3074084	OK		PP551					GCF_031583205.1-RS_2024_11_06	2699585	1	Complete Genome	2023-09-17		2699585	2699585	1	Academia Sinica	2662	2580		
GCA_047302985.1	ASM4730298v1	Prochlorococcus sp. MIT 0707	3082860	Inconclusive		0707						2696464	1	Complete Genome	2025-01-29		2696464	2696464	1	Civil and Environmental Engineering, Massachusetts Institute of Technology				0.24
GCF_047302985.1	ASM4730298v1	Prochlorococcus sp. MIT 0707	3082860	Inconclusive		0707					GCF_047302985.1-RS_2025_01_29	2696464	1	Complete Genome	2025-01-30		2696464	2696464	1	Civil and Environmental Engineering, Massachusetts Institute of Technology	2653	2559		0.24
GCA_047302805.1	ASM4730280v1	Prochlorococcus sp. MIT 0718	3082539	Inconclusive		MIT 0718						2683632	1	Complete Genome	2025-01-29		2683632	2683632	1	Civil and Environmental Engineering, Massachusetts Institute of Technology				0.24
GCF_047302805.1	ASM4730280v1	Prochlorococcus sp. MIT 0718	3082539	Inconclusive		MIT 0718					GCF_047302805.1-RS_2025_01_29	2683632	1	Complete Genome	2025-01-30		2683632	2683632	1	Civil and Environmental Engineering, Massachusetts Institute of Technology	2674	2575		0.24
GCA_030518735.1	ASM3051873v1	Thermosynechococcus sp. JY1339	3058431	OK		JY1339					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2677487	1	Complete Genome	2023-07-23		2677487	2677487	1	Academia Sinica	2625	2548		
GCF_030518735.1	ASM3051873v1	Thermosynechococcus sp. JY1339	3058431	OK		JY1339					GCF_030518735.1-RS_2024_11_06	2677487	1	Complete Genome	2023-07-23		2677487	2677487	1	Academia Sinica	2638	2546		
GCA_031583475.1	ASM3158347v1	Thermosynechococcus sp. JY1331	3074098	OK		JY1331					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2677418	1	Complete Genome	2023-09-17		2677418	2677418	1	Academia Sinica	2622	2549		
GCF_031583475.1	ASM3158347v1	Thermosynechococcus sp. JY1331	3074098	OK		JY1331					GCF_031583475.1-RS_2024_11_06	2677418	1	Complete Genome	2023-09-17		2677418	2677418	1	Academia Sinica	2635	2543		
GCA_030518715.1	ASM3051871v1	Thermosynechococcus sp. HY596	3058430	OK		HY596					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2676782	1	Complete Genome	2023-07-23		2676782	2676782	1	Academia Sinica	2627	2553		
GCF_030518715.1	ASM3051871v1	Thermosynechococcus sp. HY596	3058430	OK		HY596					GCF_030518715.1-RS_2024_11_06	2676782	1	Complete Genome	2023-07-23		2676782	2676782	1	Academia Sinica	2632	2547		
GCA_031583535.1	ASM3158353v1	Thermosynechococcus sp. HY591	3074102	OK		HY591					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2676782	1	Complete Genome	2023-09-17		2676782	2676782	1	Academia Sinica	2626	2553		
GCF_031583535.1	ASM3158353v1	Thermosynechococcus sp. HY591	3074102	OK		HY591					GCF_031583535.1-RS_2024_11_06	2676782	1	Complete Genome	2023-09-17		2676782	2676782	1	Academia Sinica	2632	2547		
GCA_030322965.1	ASM3032296v1	Thermosynechococcus sp. B0	2937284	OK		B0					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2676747	1	Complete Genome	2023-06-22		2676747	2676747	1	Academia Sinica	2608	2515		
GCF_030322965.1	ASM3032296v1	Thermosynechococcus sp. B0	2937284	OK		B0					GCF_030322965.1-RS_2024_11_06	2676747	1	Complete Genome	2023-06-22		2676747	2676747	1	Academia Sinica	2616	2529		
GCA_031583555.1	ASM3158355v1	Thermosynechococcus sp. HY593	3074103	OK		HY593					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2676543	1	Complete Genome	2023-09-17		2676543	2676543	1	Academia Sinica	2634	2562		
GCF_031583555.1	ASM3158355v1	Thermosynechococcus sp. HY593	3074103	OK		HY593					GCF_031583555.1-RS_2024_11_06	2676543	1	Complete Genome	2023-09-17		2676543	2676543	1	Academia Sinica	2638	2554		
GCA_031583495.1	ASM3158349v1	Thermosynechococcus sp. TG218	3074096	OK		TG218					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2670884	1	Complete Genome	2023-09-17		2670884	2670884	1	Academia Sinica	2614	2543		
GCF_031583495.1	ASM3158349v1	Thermosynechococcus sp. TG218	3074096	OK		TG218					GCF_031583495.1-RS_2024_11_06	2670884	1	Complete Genome	2023-09-17		2670884	2670884	1	Academia Sinica	2617	2530		
GCA_031583455.1	ASM3158345v1	Thermosynechococcus sp. TG215	3074095	OK		TG215					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2668121	1	Complete Genome	2023-09-17		2668121	2668121	1	Academia Sinica	2605	2534		
GCF_031583455.1	ASM3158345v1	Thermosynechococcus sp. TG215	3074095	OK		TG215					GCF_031583455.1-RS_2024_11_06	2668121	1	Complete Genome	2023-09-17		2668121	2668121	1	Academia Sinica	2610	2523		
GCA_031583435.1	ASM3158343v1	Thermosynechococcus sp. GLH87	3074094	OK		GLH87					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2662047	1	Complete Genome	2023-09-17		2662047	2662047	1	Academia Sinica	2607	2536		
GCF_031583435.1	ASM3158343v1	Thermosynechococcus sp. GLH87	3074094	OK		GLH87					GCF_031583435.1-RS_2024_11_06	2662047	1	Complete Genome	2023-09-17		2662047	2662047	1	Academia Sinica	2617	2529		
GCA_031583415.1	ASM3158341v1	Thermosynechococcus sp. GLH333	3074093	OK		GLH333					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2661840	1	Complete Genome	2023-09-17		2661840	2661840	1	Academia Sinica	2606	2537		
GCF_031583415.1	ASM3158341v1	Thermosynechococcus sp. GLH333	3074093	OK		GLH333					GCF_031583415.1-RS_2024_11_06	2661840	1	Complete Genome	2023-09-17		2661840	2661840	1	Academia Sinica	2617	2530		
GCA_031583395.1	ASM3158339v1	Thermosynechococcus sp. GLH187	3074092	OK		GLH187					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2661770	1	Complete Genome	2023-09-17		2661770	2661770	1	Academia Sinica	2606	2537		
GCF_031583395.1	ASM3158339v1	Thermosynechococcus sp. GLH187	3074092	OK		GLH187					GCF_031583395.1-RS_2024_11_06	2661770	1	Complete Genome	2023-09-17		2661770	2661770	1	Academia Sinica	2617	2531		
GCA_047716785.1	ASM4771678v1	Synechococcus sp. A10-1-5-9	3392295	Inconclusive		A10-1-5-9					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2660754	1	Complete Genome	2025-02-12		2660754	2660754	1	Institute of Marine Science and Technology, ShanDong University	2828	2739		0.12
GCF_047716785.1	ASM4771678v1	Synechococcus sp. A10-1-5-9	3392295	Inconclusive		A10-1-5-9					GCF_047716785.1-RS_2025_02_13	2660754	1	Complete Genome	2025-02-13		2660754	2660754	1	Institute of Marine Science and Technology, ShanDong University	2828	2739		0.12
GCA_031583515.1	ASM3158351v1	Thermosynechococcus sp. QS41	3074101	OK		QS41					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2660027	1	Complete Genome	2023-09-17		2660027	2660027	1	Academia Sinica	2611	2538		
GCF_031583515.1	ASM3158351v1	Thermosynechococcus sp. QS41	3074101	OK		QS41					GCF_031583515.1-RS_2024_11_06	2660027	1	Complete Genome	2023-09-17		2660027	2660027	1	Academia Sinica	2626	2541		
GCA_031583255.1	ASM3158325v1	Thermosynechococcus sp. PKX82	3074086	OK		PKX82					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2658951	1	Complete Genome	2023-09-17		2658951	2658951	1	Academia Sinica	2625	2554		
GCF_031583255.1	ASM3158325v1	Thermosynechococcus sp. PKX82	3074086	OK		PKX82					GCF_031583255.1-RS_2024_11_06	2658951	1	Complete Genome	2023-09-17		2658951	2658951	1	Academia Sinica	2627	2541		
GCA_017086385.1	ASM1708638v1	Thermosynechococcus sp. TA-1	2813673	OK		TA-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2658717	1	Complete Genome	2021-03-01		2658717	2658717	1	Academia Sinica	2605	2524		
GCF_017086385.1	ASM1708638v1	Thermosynechococcus sp. TA-1	2813673	OK		TA-1					GCF_017086385.1-RS_2024_11_06	2658717	1	Complete Genome	2021-03-01		2658717	2658717	1	Academia Sinica	2618	2527		
GCA_031586415.1	ASM3158641v1	Thermosynechococcus sp. QKsg1	3074130	OK		QKsg1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2657882	1	Complete Genome	2023-09-18		2657882	2657882	1	Academia Sinica	2601	2530		
GCF_031586415.1	ASM3158641v1	Thermosynechococcus sp. QKsg1	3074130	OK		QKsg1					GCF_031586415.1-RS_2024_11_06	2657882	1	Complete Genome	2023-09-18		2657882	2657882	1	Academia Sinica	2612	2529		
GCA_031583185.1	ASM3158318v1	Thermosynechococcus sp. PP22	3074082	OK		PP22					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2653500	1	Complete Genome	2023-09-17		2653500	2653500	1	Academia Sinica	2602	2531		
GCF_031583185.1	ASM3158318v1	Thermosynechococcus sp. PP22	3074082	OK		PP22					GCF_031583185.1-RS_2024_11_06	2653500	1	Complete Genome	2023-09-17		2653500	2653500	1	Academia Sinica	2610	2524		
GCA_030323045.1	ASM3032304v1	Thermosynechococcus sp. B3	2937793	OK		B3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2652703	1	Complete Genome	2023-06-22		2652703	2652703	1	Academia Sinica	2615	2529		
GCF_030323045.1	ASM3032304v1	Thermosynechococcus sp. B3	2937793	OK		B3					GCF_030323045.1-RS_2024_11_06	2652703	1	Complete Genome	2023-06-22		2652703	2652703	1	Academia Sinica	2625	2542		
GCA_030322985.1	ASM3032298v1	Thermosynechococcus sp. B1	2937792	OK		B1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2649060	1	Complete Genome	2023-06-22		2649060	2649060	1	Academia Sinica	2614	2529		
GCF_030322985.1	ASM3032298v1	Thermosynechococcus sp. B1	2937792	OK		B1					GCF_030322985.1-RS_2024_11_06	2649060	1	Complete Genome	2023-06-22		2649060	2649060	1	Academia Sinica	2621	2534		
GCA_008386235.1	ASM838623v1	Thermosynechococcus sp. CL-1	2583530	OK		CL-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2647823	1	Complete Genome	2019-09-16		2647823	2647823	1	Academia Sinica	2597	2465		
GCF_008386235.1	ASM838623v1	Thermosynechococcus sp. CL-1	2583530	OK		CL-1					GCF_008386235.1-RS_2024_11_06	2647823	1	Complete Genome	2019-09-16		2647823	2647823	1	Academia Sinica	2621	2543		
GCA_031583375.1	ASM3158337v1	Thermosynechococcus sp. WL15	3074090	OK		WL15					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2645741	1	Complete Genome	2023-09-17		2645741	2645741	1	Academia Sinica	2587	2519		
GCF_031583375.1	ASM3158337v1	Thermosynechococcus sp. WL15	3074090	OK		WL15					GCF_031583375.1-RS_2024_11_06	2645741	1	Complete Genome	2023-09-17		2645741	2645741	1	Academia Sinica	2593	2509		
GCA_031583335.1	ASM3158333v1	Thermosynechococcus sp. WL11	3074089	OK		WL11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2645738	1	Complete Genome	2023-09-17		2645738	2645738	1	Academia Sinica	2589	2521		
GCF_031583335.1	ASM3158333v1	Thermosynechococcus sp. WL11	3074089	OK		WL11					GCF_031583335.1-RS_2024_11_06	2645738	1	Complete Genome	2023-09-17		2645738	2645738	1	Academia Sinica	2594	2509		
GCA_031583355.1	ASM3158335v1	Thermosynechococcus sp. WL17	3074091	OK		WL17					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2645660	1	Complete Genome	2023-09-17		2645660	2645660	1	Academia Sinica	2590	2522		
GCF_031583355.1	ASM3158335v1	Thermosynechococcus sp. WL17	3074091	OK		WL17					GCF_031583355.1-RS_2024_11_06	2645660	1	Complete Genome	2023-09-17		2645660	2645660	1	Academia Sinica	2596	2512		
GCA_031583295.1	ASM3158329v1	Thermosynechococcus sp. PKX95	3074088	OK		PKX95					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2645596	1	Complete Genome	2023-09-17		2645596	2645596	1	Academia Sinica	2592	2524		
GCF_031583295.1	ASM3158329v1	Thermosynechococcus sp. PKX95	3074088	OK		PKX95					GCF_031583295.1-RS_2024_11_06	2645596	1	Complete Genome	2023-09-17		2645596	2645596	1	Academia Sinica	2599	2515		
GCA_031583315.1	ASM3158331v1	Thermosynechococcus sp. PKX91	3074087	OK		PKX91					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2645572	1	Complete Genome	2023-09-17		2645572	2645572	1	Academia Sinica	2593	2525		
GCF_031583315.1	ASM3158331v1	Thermosynechococcus sp. PKX91	3074087	OK		PKX91					GCF_031583315.1-RS_2024_11_06	2645572	1	Complete Genome	2023-09-17		2645572	2645572	1	Academia Sinica	2600	2516		
GCA_047304175.1	ASM4730417v1	Synechococcus sp. MIT S9503	3082547	Inconclusive		MIT S9503						2634970	1	Complete Genome	2025-01-29		2634970	2634970	1	Civil and Environmental Engineering, Massachusetts Institute of Technology				0.71
GCF_047304175.1	ASM4730417v1	Synechococcus sp. MIT S9503	3082547	Inconclusive		MIT S9503					GCF_047304175.1-RS_2025_01_29	2634970	1	Complete Genome	2025-01-30		2634970	2634970	1	Civil and Environmental Engineering, Massachusetts Institute of Technology	2850	2782		0.71
GCA_004209775.1	ASM420977v1	Synechococcus sp. WH 8101	59932	Inconclusive		WH 8101					Annotation submitted by University of Delaware	2630292	1	Complete Genome	2019-02-19		2630292	2630292	1	University of Delaware	2859	2808		0.82
GCF_004209775.1	ASM420977v1	Synechococcus sp. WH 8101	59932	Inconclusive		WH 8101					GCF_004209775.1-RS_2024_08_23	2630292	1	Complete Genome	2019-02-19		2630292	2630292	1	University of Delaware	2829	2750		0.82
GCA_047716815.1	ASM4771681v1	Synechococcus sp. W2B2	3392296	Inconclusive		W2B2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2623530	1	Complete Genome	2025-02-12		2623530	2623530	1	Institute of Marine Science and Technology, ShanDong University	2738	2651		0.12
GCF_047716815.1	ASM4771681v1	Synechococcus sp. W2B2	3392296	Inconclusive		W2B2					GCF_047716815.1-RS_2025_02_13	2623530	1	Complete Genome	2025-02-13		2623530	2623530	1	Institute of Marine Science and Technology, ShanDong University	2738	2651		0.12
GCA_014304795.1	ASM1430479v1	Synechococcus sp. WH 8101	59932	Inconclusive		WH 8101					Annotation submitted by Station Biologique de Roscoff (CNRS - Sorbonne University)	2623023	1	Complete Genome	2020-08-26		2623023	2623023	1	Station Biologique de Roscoff (CNRS - Sorbonne University)	2941	2890		0.82
GCF_014304795.1	ASM1430479v1	Synechococcus sp. WH 8101	59932	Inconclusive		WH 8101					GCF_014304795.1-RS_2024_08_17	2623023	1	Complete Genome	2020-08-26		2623023	2623023	1	Station Biologique de Roscoff (CNRS - Sorbonne University)	2828	2748		0.82
GCA_047302785.1	ASM4730278v1	Synechococcus sp. WH 8017	166321	Inconclusive		WH 8017						2622390	1	Complete Genome	2025-01-29		2622390	2622390	1	Civil and Environmental Engineering, Massachusetts Institute of Technology				0.12
GCF_047302785.1	ASM4730278v1	Synechococcus sp. WH 8017	166321	Inconclusive		WH 8017					GCF_047302785.1-RS_2025_01_29	2622390	1	Complete Genome	2025-01-30		2622390	2622390	1	Civil and Environmental Engineering, Massachusetts Institute of Technology	2746	2670		0.12
GCA_014280115.1	ASM1428011v1	Synechococcus sp. A15-44	1050646	Inconclusive		A15-44					Annotation submitted by Station Biologique de Roscoff (CNRS - Sorbonne University)	2621965	1	Complete Genome	2020-08-24		2621965	2621965	1	Station Biologique de Roscoff (CNRS - Sorbonne University)	3201	3145		0.24
GCF_014280115.1	ASM1428011v1	Synechococcus sp. A15-44	1050646	Inconclusive		A15-44					GCF_014280115.1-RS_2024_08_17	2621965	1	Complete Genome	2020-08-24		2621965	2621965	1	Station Biologique de Roscoff (CNRS - Sorbonne University)	2958	2848		0.24
GCA_047303165.1	ASM4730316v1	Prochlorococcus sp. MIT 1312	3082537	Inconclusive		MIT 1312						2619436	1	Complete Genome	2025-01-29		2619436	2619436	1	Civil and Environmental Engineering, Massachusetts Institute of Technology				0.56
GCF_047303165.1	ASM4730316v1	Prochlorococcus sp. MIT 1312	3082537	Inconclusive		MIT 1312					GCF_047303165.1-RS_2025_01_29	2619436	1	Complete Genome	2025-01-30		2619436	2619436	1	Civil and Environmental Engineering, Massachusetts Institute of Technology	2526	2435		0.56
GCA_047303345.1	ASM4730334v1	Prochlorococcus sp. MIT 1227	3082536	Inconclusive		MIT 1227						2615763	1	Complete Genome	2025-01-29		2615763	2615763	1	Civil and Environmental Engineering, Massachusetts Institute of Technology				0.56
GCF_047303345.1	ASM4730334v1	Prochlorococcus sp. MIT 1227	3082536	Inconclusive		MIT 1227					GCF_047303345.1-RS_2025_01_29	2615763	1	Complete Genome	2025-01-30		2615763	2615763	1	Civil and Environmental Engineering, Massachusetts Institute of Technology	2578	2483		0.56
GCA_047304505.1	ASM4730450v1	Prochlorococcus sp. MIT 1318	3082531	Inconclusive		MIT 1318						2609429	1	Complete Genome	2025-01-29		2609429	2609429	1	Civil and Environmental Engineering, Massachusetts Institute of Technology				0.56
GCF_047304505.1	ASM4730450v1	Prochlorococcus sp. MIT 1318	3082531	Inconclusive		MIT 1318					GCF_047304505.1-RS_2025_01_31	2609429	1	Complete Genome	2025-01-31		2609429	2609429	1	Civil and Environmental Engineering, Massachusetts Institute of Technology	2591	2501		0.56
GCA_047303155.1	ASM4730315v1	Prochlorococcus sp. MIT 1313	3082538	Inconclusive		MIT 1313						2608057	1	Complete Genome	2025-01-29		2608057	2608057	1	Civil and Environmental Engineering, Massachusetts Institute of Technology				0.45
GCF_047303155.1	ASM4730315v1	Prochlorococcus sp. MIT 1313	3082538	Inconclusive		MIT 1313					GCF_047303155.1-RS_2025_01_29	2608057	1	Complete Genome	2025-01-30		2608057	2608057	1	Civil and Environmental Engineering, Massachusetts Institute of Technology	2588	2498		0.45
GCA_000014585.1	ASM1458v1	Synechococcus sp. CC9311	64471	Inconclusive		CC9311					Annotation submitted by TIGR	2606748	1	Complete Genome	2006-09-01		2606748	2606748	1	TIGR	2944	2892		0.12
GCF_000014585.1	ASM1458v1	Synechococcus sp. CC9311	64471	Inconclusive		CC9311					GCF_000014585.1-RS_2024_08_13	2606748	1	Complete Genome	2006-09-01		2606748	2606748	1	TIGR	2771	2699		0.12
GCA_047304725.1	ASM4730472v1	Synechococcus sp. MIT S9451	3082543	Inconclusive		MIT S9451						2605724	1	Complete Genome	2025-01-29		2605724	2605724	1	Civil and Environmental Engineering, Massachusetts Institute of Technology				0.24
